,Year,Violent Crime,Violent Crime Rate,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter Rate,Forcible Rape,Forcible Rape Rate,Robbery,Robbery Rate,Aggravated Assault,Aggravated Assault Rate,Property Crime,Property Crime Rate,Burglary,Burglary Rate,Larceny-Theft,Larceny-Theft Rate,Motor Vehicle Theft,Motor Vehicle Theft Rate,Population
0,2011-12-31,1203564.0,386.3,14612.0,4.7,83425.0,26.8,354396.0,113.7,751131.0,241.1,9063173.0,2908.7,2188005.0,702.2,6159795.0,1976.9,715373.0,229.6,311591917.0
1,2010-12-31,1251248.0,404.5,14722.0,4.8,85593.0,27.7,369089.0,119.3,781844.0,252.8,9112625.0,2945.9,2168459.0,701.0,6204601.0,2005.8,739565.0,239.1,309330219.0
2,2009-12-31,1325896.0,431.9,15399.0,5.0,89241.0,29.1,408742.0,133.1,812514.0,264.7,9337060.0,3041.3,2203313.0,717.7,6338095.0,2064.5,795652.0,259.2,307006550.0
3,2008-12-31,1394461.0,458.6,16465.0,5.4,90750.0,29.8,443563.0,145.9,843683.0,277.5,9774152.0,3214.6,2228887.0,733.0,6586206.0,2166.1,959059.0,315.4,304059724.0
4,2007-12-31,1422970.0,471.8,17128.0,5.7,92160.0,30.6,447324.0,148.3,866358.0,287.2,9882212.0,3276.4,2190198.0,726.1,6591542.0,2185.4,1100472.0,364.9,301621157.0
5,2006-12-31,1435123.0,479.3,17309.0,5.8,94472.0,31.6,449246.0,150.0,874096.0,292.0,10019601.0,3346.6,2194993.0,733.1,6626363.0,2213.2,1198245.0,400.2,299398484.0
6,2005-12-31,1390745.0,469.0,16740.0,5.6,94347.0,31.8,417438.0,140.8,862220.0,290.8,10174754.0,3431.5,2155448.0,726.9,6783447.0,2287.8,1235859.0,416.8,296507061.0
7,2004-12-31,1360088.0,463.2,16148.0,5.5,95089.0,32.4,401470.0,136.7,847381.0,288.6,10319386.0,3514.1,2144446.0,730.3,6937089.0,2362.3,1237851.0,421.5,293656842.0
8,2003-12-31,1383676.0,475.8,16528.0,5.7,93883.0,32.3,414235.0,142.5,859030.0,295.4,10442862.0,3591.2,2154834.0,741.0,7026802.0,2416.5,1261226.0,433.7,290788976.0
9,2002-12-31,1423677.0,494.4,16229.0,5.6,95235.0,33.1,420806.0,146.1,891407.0,309.5,10455277.0,3630.6,2151252.0,747.0,7057379.0,2450.7,1246646.0,432.9,287973924.0
10,2001-12-31,1439480.0,504.5,16037.0,5.6,90863.0,31.8,423557.0,148.5,909023.0,318.6,10437189.0,3658.1,2116531.0,741.8,7092267.0,2485.7,1228391.0,430.5,285317559.0
11,2000-12-31,1425486.0,506.5,15586.0,5.5,90178.0,32.0,408016.0,145.0,911706.0,324.0,10182584.0,3618.3,2050992.0,728.8,6971590.0,2477.3,1160002.0,412.2,281421906.0
12,1999-12-31,1426044.0,523.0,15522.0,5.7,89411.0,32.8,409371.0,150.1,911740.0,334.3,10208334.0,3743.6,2100739.0,770.4,6955520.0,2550.7,1152075.0,422.5,272690813.0
13,1998-12-31,1533887.0,567.6,16974.0,6.3,93144.0,34.5,447186.0,165.5,976583.0,361.4,10951827.0,4052.5,2332735.0,863.2,7376311.0,2729.5,1242781.0,459.9,270248003.0
14,1997-12-31,1636096.0,611.0,18208.0,6.8,96153.0,35.9,498534.0,186.2,1023201.0,382.1,11558475.0,4316.3,2460526.0,918.8,7743760.0,2891.8,1354189.0,505.7,267783607.0
15,1996-12-31,1688540.0,636.6,19645.0,7.4,96252.0,36.3,535594.0,201.9,1037049.0,391.0,11805323.0,4451.0,2506400.0,945.0,7904685.0,2980.3,1394238.0,525.7,265228572.0
16,1995-12-31,1798792.0,684.5,21606.0,8.2,97470.0,37.1,580509.0,220.9,1099207.0,418.3,12063935.0,4590.5,2593784.0,987.0,7997710.0,3043.2,1472441.0,560.3,262803276.0
17,1994-12-31,1857670.0,713.6,23326.0,9.0,102216.0,39.3,618949.0,237.8,1113179.0,427.6,12131873.0,4660.2,2712774.0,1042.1,7879812.0,3026.9,1539287.0,591.3,260327021.0
18,1993-12-31,1926017.0,747.1,24526.0,9.5,106014.0,41.1,659870.0,256.0,1135607.0,440.5,12218777.0,4740.0,2834808.0,1099.7,7820909.0,3033.9,1563060.0,606.3,257782608.0
19,1992-12-31,1932274.0,757.7,23760.0,9.3,109062.0,42.8,672478.0,263.7,1126974.0,441.9,12505917.0,4903.7,2979884.0,1168.4,7915199.0,3103.6,1610834.0,631.6,255029699.0
